,a,b
afrimmlu_amh_93,0.78467363,-0.8360492
afrimmlu_amh_94,0.78467363,-0.8360492
afrimmlu_amh_95,0.7669072,-0.31470987
afrimmlu_amh_96,0.7119467,-0.32218784
afrimmlu_amh_97,0.78467363,-0.8360492
afrimmlu_amh_98,0.7669072,-0.31470987
afrimmlu_amh_99,0.7588654,0.18015368
afrimmlu_eng_0,0.78467363,-0.8360492
afrimmlu_eng_1,0.78467363,-0.8360492
afrimmlu_eng_10,0.5882145,0.10258308
afrimmlu_eng_100,0.78467363,-0.8360492
afrimmlu_eng_101,0.7669072,-0.31470987
afrimmlu_eng_102,0.78467363,-0.8360492
afrimmlu_eng_103,0.545274,0.90647614
afrimmlu_eng_104,0.7283728,-0.32004657
afrimmlu_eng_105,0.78467363,-0.8360492
afrimmlu_eng_106,0.7119467,-0.32218784
afrimmlu_eng_107,0.78467363,-0.8360492
afrimmlu_eng_108,0.78467363,-0.8360492
afrimmlu_eng_109,0.78467363,-0.8360492
afrimmlu_eng_11,0.78467363,-0.8360492
afrimmlu_eng_110,0.78467363,-0.8360492
afrimmlu_eng_111,0.78467363,-0.8360492
afrimmlu_eng_112,0.78467363,-0.8360492
afrimmlu_eng_113,0.78467363,-0.8360492
afrimmlu_eng_114,0.6363421,0.5741446
afrimmlu_eng_115,0.78467363,-0.8360492
afrimmlu_eng_116,0.78467363,-0.8360492
afrimmlu_eng_117,0.78467363,-0.8360492
afrimmlu_eng_118,0.7669072,-0.31470987
afrimmlu_eng_119,0.7669072,-0.31470987
afrimmlu_eng_12,0.78467363,-0.8360492
afrimmlu_eng_120,0.78467363,-0.8360492
afrimmlu_eng_121,0.78467363,-0.8360492
afrimmlu_eng_122,0.78467363,-0.8360492
afrimmlu_eng_123,0.78467363,-0.8360492
afrimmlu_eng_124,0.7669072,-0.31470987
afrimmlu_eng_125,0.7669072,-0.31470987
afrimmlu_eng_126,0.78467363,-0.8360492
afrimmlu_eng_127,0.545274,0.90647614
afrimmlu_eng_128,0.78467363,-0.8360492
afrimmlu_eng_129,0.78467363,-0.8360492
afrimmlu_eng_13,0.7669072,-0.31470987
afrimmlu_eng_130,0.78467363,-0.8360492
afrimmlu_eng_131,0.78467363,-0.8360492
afrimmlu_eng_132,0.78467363,-0.8360492
afrimmlu_eng_133,0.78467363,-0.8360492
afrimmlu_eng_134,0.78467363,-0.8360492
afrimmlu_eng_135,0.7283728,-0.32004657
afrimmlu_eng_136,0.78467363,-0.8360492
afrimmlu_eng_137,0.7669072,-0.31470987
afrimmlu_eng_138,0.7119467,-0.32218784
afrimmlu_eng_139,0.78467363,-0.8360492
afrimmlu_eng_14,0.70331436,0.15601648
afrimmlu_eng_140,0.78467363,-0.8360492
afrimmlu_eng_141,0.59555566,0.54006904
afrimmlu_eng_142,0.6101059,-0.33277762
afrimmlu_eng_143,0.78467363,-0.8360492
afrimmlu_eng_144,0.78467363,-0.8360492
afrimmlu_eng_145,0.78467363,-0.8360492
afrimmlu_eng_146,0.78467363,-0.8360492
afrimmlu_eng_147,0.78467363,-0.8360492
afrimmlu_eng_148,0.78467363,-0.8360492
afrimmlu_eng_149,0.7669072,-0.31470987
afrimmlu_eng_15,0.7669072,-0.31470987
afrimmlu_eng_150,0.78467363,-0.8360492
afrimmlu_eng_151,0.78467363,-0.8360492
afrimmlu_eng_152,0.78467363,-0.8360492
afrimmlu_eng_153,0.7119467,-0.32218784
afrimmlu_eng_154,0.78467363,-0.8360492
afrimmlu_eng_155,0.545274,0.90647614
afrimmlu_eng_156,0.78467363,-0.8360492
afrimmlu_eng_157,0.78467363,-0.8360492
afrimmlu_eng_158,0.78467363,-0.8360492
afrimmlu_eng_159,0.78467363,-0.8360492
