,a,b
sib_hau_109,0.78793126,-0.41532964
sib_hau_11,0.7096046,0.10541948
sib_hau_110,0.78793126,-0.41532964
sib_hau_111,0.78793126,-0.41532964
sib_hau_112,0.78793126,-0.41532964
sib_hau_113,0.78793126,-0.41532964
sib_hau_114,0.78793126,-0.41532964
sib_hau_115,0.56108177,1.6892787
sib_hau_116,0.78793126,-0.41532964
sib_hau_117,0.78793126,-0.41532964
sib_hau_118,0.78793126,-0.41532964
sib_hau_119,0.78793126,-0.41532964
sib_hau_12,0.78793126,-0.41532964
sib_hau_120,0.78793126,-0.41532964
sib_hau_121,0.78793126,-0.41532964
sib_hau_122,0.78793126,-0.41532964
sib_hau_123,0.78793126,-0.41532964
sib_hau_124,0.78793126,-0.41532964
sib_hau_125,0.78793126,-0.41532964
sib_hau_126,0.6303697,0.97473395
sib_hau_127,0.78793126,-0.41532964
sib_hau_128,0.78793126,-0.41532964
sib_hau_129,0.78793126,-0.41532964
sib_hau_13,0.5947198,0.46707988
sib_hau_130,0.78793126,-0.41532964
sib_hau_131,0.5777624,1.3110049
sib_hau_132,0.78793126,-0.41532964
sib_hau_133,0.78793126,-0.41532964
sib_hau_134,0.78793126,-0.41532964
sib_hau_135,0.78793126,-0.41532964
sib_hau_136,0.78793126,-0.41532964
sib_hau_137,0.5848147,1.3261219
sib_hau_138,0.78793126,-0.41532964
sib_hau_139,0.6303697,0.97473395
sib_hau_14,0.7096046,0.10541948
sib_hau_140,0.78793126,-0.41532964
sib_hau_141,0.78793126,-0.41532964
sib_hau_142,0.78793126,-0.41532964
sib_hau_143,0.78793126,-0.41532964
sib_hau_144,0.56108177,1.6892787
sib_hau_145,0.7096046,0.10541948
sib_hau_146,0.78793126,-0.41532964
sib_hau_147,0.78793126,-0.41532964
sib_hau_148,0.5848147,1.3261219
sib_hau_149,0.78793126,-0.41532964
sib_hau_15,0.78793126,-0.41532964
sib_hau_150,0.78793126,-0.41532964
sib_hau_151,0.7096046,0.10541948
