,a,b
afrimgsm_eng_111,0.69851464,0.20161274
afrimgsm_eng_112,0.7054685,-0.8489991
afrimgsm_eng_113,0.7054685,-0.8489991
afrimgsm_eng_114,0.79315966,-0.3160993
afrimgsm_eng_115,0.79315966,-0.3160993
afrimgsm_eng_116,0.79315966,-0.3160993
afrimgsm_eng_117,0.7054685,-0.8489991
afrimgsm_eng_118,0.7054685,-0.8489991
afrimgsm_eng_119,0.681165,1.1876816
afrimgsm_eng_12,0.68251354,0.694715
afrimgsm_eng_120,0.69851464,0.20161274
afrimgsm_eng_121,0.79315966,-0.3160993
afrimgsm_eng_122,0.79315966,-0.3160993
afrimgsm_eng_123,0.6104306,-0.30883098
afrimgsm_eng_124,0.79315966,-0.3160993
afrimgsm_eng_125,0.7054685,-0.8489991
afrimgsm_eng_126,0.69851464,0.20161274
afrimgsm_eng_127,0.59232324,-0.3066153
afrimgsm_eng_128,0.79315966,-0.3160993
afrimgsm_eng_129,0.79315966,-0.3160993
afrimgsm_eng_13,0.79315966,-0.3160993
afrimgsm_eng_130,0.7054685,-0.8489991
afrimgsm_eng_131,0.7054685,-0.8489991
afrimgsm_eng_132,0.79315966,-0.3160993
afrimgsm_eng_133,0.7054685,-0.8489991
afrimgsm_eng_134,0.7054685,-0.8489991
afrimgsm_eng_135,0.79315966,-0.3160993
afrimgsm_eng_136,0.7054685,-0.8489991
afrimgsm_eng_137,0.681165,1.1876816
afrimgsm_eng_138,0.7054685,-0.8489991
afrimgsm_eng_139,0.79315966,-0.3160993
afrimgsm_eng_14,0.69851464,0.20161274
afrimgsm_eng_140,0.7054685,-0.8489991
afrimgsm_eng_141,0.7054685,-0.8489991
afrimgsm_eng_142,0.79315966,-0.3160993
afrimgsm_eng_143,0.6104306,-0.30883098
afrimgsm_eng_144,0.7054685,-0.8489991
afrimgsm_eng_145,0.59232324,-0.3066153
afrimgsm_eng_146,0.59232324,-0.3066153
afrimgsm_eng_147,0.72505677,0.21326363
afrimgsm_eng_148,0.7054685,-0.8489991
afrimgsm_eng_149,0.79315966,-0.3160993
afrimgsm_eng_15,0.79315966,-0.3160993
afrimgsm_eng_150,0.79315966,-0.3160993
afrimgsm_eng_151,0.68251354,0.694715
afrimgsm_eng_152,0.681165,1.1876816
afrimgsm_eng_153,0.7054685,-0.8489991
afrimgsm_eng_154,0.79315966,-0.3160993
afrimgsm_eng_155,0.79315966,-0.3160993
afrimgsm_eng_156,0.79315966,-0.3160993
afrimgsm_eng_157,0.79315966,-0.3160993
afrimgsm_eng_158,0.79315966,-0.3160993
afrimgsm_eng_159,0.7054685,-0.8489991
afrimgsm_eng_16,0.79315966,-0.3160993
afrimgsm_eng_160,0.59232324,-0.3066153
afrimgsm_eng_161,0.6104306,-0.30883098
afrimgsm_eng_162,0.72505677,0.21326363
afrimgsm_eng_163,0.72505677,0.21326363
afrimgsm_eng_164,0.79315966,-0.3160993
afrimgsm_eng_165,0.79315966,-0.3160993
afrimgsm_eng_166,0.79315966,-0.3160993
afrimgsm_eng_167,0.7054685,-0.8489991
afrimgsm_eng_168,0.7054685,-0.8489991
afrimgsm_eng_169,0.79315966,-0.3160993
afrimgsm_eng_17,0.79315966,-0.3160993
afrimgsm_eng_170,0.79315966,-0.3160993
afrimgsm_eng_171,0.7054685,-0.8489991
afrimgsm_eng_172,0.7054685,-0.8489991
afrimgsm_eng_173,0.7054685,-0.8489991
afrimgsm_eng_174,0.65456736,0.67088765
afrimgsm_eng_175,0.79315966,-0.3160993
afrimgsm_eng_176,0.69851464,0.20161274
afrimgsm_eng_177,0.7054685,-0.8489991
afrimgsm_eng_178,0.79315966,-0.3160993
afrimgsm_eng_179,0.7054685,-0.8489991
afrimgsm_eng_18,0.6104306,-0.30883098
afrimgsm_eng_180,0.79315966,-0.3160993
afrimgsm_eng_181,0.72505677,0.21326363
afrimgsm_eng_182,0.7054685,-0.8489991
afrimgsm_eng_183,0.7054685,-0.8489991
afrimgsm_eng_184,0.68251354,0.694715
afrimgsm_eng_185,0.79315966,-0.3160993
afrimgsm_eng_186,0.7054685,-0.8489991
afrimgsm_eng_187,0.5471161,0.13981448
afrimgsm_eng_188,0.79315966,-0.3160993
afrimgsm_eng_189,0.6794138,0.69208974
afrimgsm_eng_19,0.79315966,-0.3160993
afrimgsm_eng_190,0.59232324,-0.3066153
afrimgsm_eng_191,0.7054685,-0.8489991
afrimgsm_eng_192,0.7054685,-0.8489991
afrimgsm_eng_193,0.79315966,-0.3160993
afrimgsm_eng_194,0.7054685,-0.8489991
afrimgsm_eng_195,0.681165,1.1876816
afrimgsm_eng_196,0.59232324,-0.3066153
afrimgsm_eng_197,0.59232324,-0.3066153
afrimgsm_eng_198,0.79315966,-0.3160993
afrimgsm_eng_199,0.79315966,-0.3160993
afrimgsm_eng_2,0.79315966,-0.3160993
afrimgsm_eng_20,0.68251354,0.694715
afrimgsm_eng_200,0.79315966,-0.3160993
afrimgsm_eng_201,0.79315966,-0.3160993
afrimgsm_eng_202,0.7054685,-0.8489991
afrimgsm_eng_203,0.79315966,-0.3160993
afrimgsm_eng_204,0.79315966,-0.3160993
afrimgsm_eng_205,0.79315966,-0.3160993
afrimgsm_eng_206,0.79315966,-0.3160993
afrimgsm_eng_207,0.69851464,0.20161274
afrimgsm_eng_208,0.7054685,-0.8489991
