,a,b
afrixnli_amh_501,0.80420583,-0.8923034
afrixnli_amh_502,0.7608128,0.996307
afrixnli_amh_503,0.7635237,0.08207443
afrixnli_amh_504,0.7059342,0.06079441
afrixnli_amh_505,0.7611757,-0.39170244
afrixnli_amh_506,0.7635237,0.08207443
afrixnli_amh_507,0.7611757,-0.39170244
afrixnli_amh_508,0.7479983,0.5339449
afrixnli_amh_509,0.80420583,-0.8923034
afrixnli_amh_51,0.7479983,0.5339449
afrixnli_amh_510,0.7479983,0.5339449
afrixnli_amh_511,0.6800837,0.49539727
afrixnli_amh_512,0.69540447,0.056891445
afrixnli_amh_513,0.7059342,0.06079441
afrixnli_amh_514,0.80420583,-0.8923034
afrixnli_amh_515,0.69540447,0.056891445
afrixnli_amh_516,0.7635237,0.08207443
afrixnli_amh_517,0.7602274,-0.39185357
afrixnli_amh_518,0.57967764,0.43094468
afrixnli_amh_519,0.80420583,-0.8923034
afrixnli_amh_52,0.69565564,-0.40068328
afrixnli_amh_520,0.80420583,-0.8923034
afrixnli_amh_521,0.7479983,0.5339449
afrixnli_amh_522,0.7479983,0.5339449
afrixnli_amh_523,0.7602274,-0.39185357
afrixnli_amh_524,0.7611757,-0.39170244
afrixnli_amh_525,0.80420583,-0.8923034
afrixnli_amh_526,0.7479983,0.5339449
afrixnli_amh_527,0.64546615,-0.40515158
afrixnli_amh_528,0.80420583,-0.8923034
afrixnli_amh_529,0.80420583,-0.8923034
afrixnli_amh_53,0.69565564,-0.40068328
afrixnli_amh_530,0.80420583,-0.8923034
afrixnli_amh_531,0.7611757,-0.39170244
afrixnli_amh_532,0.7635237,0.08207443
afrixnli_amh_533,0.63346595,0.89606524
afrixnli_amh_534,0.63420725,0.89673305
afrixnli_amh_535,0.7467643,1.4440738
afrixnli_amh_536,0.80420583,-0.8923034
afrixnli_amh_537,0.68292916,0.9383759
afrixnli_amh_538,0.6743284,0.49194366
afrixnli_amh_539,0.7467643,1.4440738
afrixnli_amh_54,0.80420583,-0.8923034
afrixnli_amh_540,0.7467643,1.4440738
afrixnli_amh_541,0.7611757,-0.39170244
afrixnli_amh_542,0.69565564,-0.40068328
afrixnli_amh_543,0.7479983,0.5339449
afrixnli_amh_544,0.80420583,-0.8923034
afrixnli_amh_545,0.69540447,0.056891445
afrixnli_amh_546,0.69457096,0.056582592
afrixnli_amh_547,0.80420583,-0.8923034
afrixnli_amh_548,0.7611757,-0.39170244
afrixnli_amh_549,0.7635237,0.08207443
afrixnli_amh_55,0.7602274,-0.39185357
afrixnli_amh_550,0.69540447,0.056891445
afrixnli_amh_551,0.7059342,0.06079441
afrixnli_amh_552,0.7467643,1.4440738
afrixnli_amh_553,0.7059342,0.06079441
afrixnli_amh_554,0.80420583,-0.8923034
afrixnli_amh_555,0.70651853,-0.39941782
afrixnli_amh_556,0.7611757,-0.39170244
afrixnli_amh_557,0.7479983,0.5339449
